action,actual_profit,ask,bid,date,deal,entry_time,fast_period,order,price,profit,sl,slow_period,symbol,time,tp,trend,trend_time,type,volume,closed,win
DEAL,1.3599999999999999,6546.834,6546.672,24/09/2022 01:35,2606757844,M5,8,2630835937,6546.834,982.56,4909.239,34,Volatility 10 Index,1663983335.8580928,9822.024,4,M30,BUY,0.3,True,False
DEAL,-1.33,354338.42,354313.11,24/09/2022 01:35,2606757837,M5,8,2630835930,354338.42,982.65,305219.61000000004,34,Volatility 25 (1s) Index,1663983335.8660882,452603.16000000003,4,M30,BUY,0.01,True,False
DEAL,9.79,26396.63,26390.44,24/09/2022 01:36,2606758609,M5,8,2630836705,26396.63,977.72,23952.33,34,Volatility 100 Index,1663983393.6900153,31285.230000000003,4,M30,BUY,0.2,True,False
DEAL,5.96,549975.21,549920.87,24/09/2022 01:36,2606758629,M5,8,2630836724,549975.21,979.02,501219.33999999997,34,Volatility 50 (1s) Index,1663983394.099919,647877.34,4,M30,BUY,0.01,True,False
DEAL,1.96,215.1694,215.1409,24/09/2022 01:36,2606758611,M5,8,2630836707,215.1694,977.72,52.21606666666665,34,Volatility 50 Index,1663983394.101918,541.0760666666667,4,M30,BUY,3.0,True,False
DEAL,1.1,8621.37,8621.33,24/09/2022 01:36,2606758636,M5,8,2630836731,8621.37,977.71,6176.999999999999,34,Volatility 10 (1s) Index,1663983394.1179075,13509.9,4,M30,BUY,0.2,True,False
DEAL,-1.09,354334.1,354308.79,24/09/2022 01:36,2606758639,M5,8,2630836734,354334.1,977.6,305454.3,34,Volatility 25 (1s) Index,1663983394.815047,452093.69999999995,4,M30,BUY,0.01,True,False
DEAL,0.2,1740.339,1740.222,24/09/2022 01:36,2606758644,M5,8,2630836738,1740.339,977.76,762.6919999999999,34,Volatility 25 Index,1663983394.8160512,3695.8520000000003,4,M30,BUY,0.5,True,False
DEAL,1.55,6545.769,6545.607,24/09/2022 01:36,2606758642,M5,8,2630836737,6545.769,976.6,4918.1106666666665,34,Volatility 10 Index,1663983394.817046,9801.085666666668,4,M30,BUY,0.3,True,False
DEAL,2.62,215.1507,215.1222,24/09/2022 01:38,2606760051,M5,8,2630838156,215.1507,979.09,51.96903333333333,34,Volatility 50 Index,1663983507.0783737,541.5140333333334,4,M30,BUY,3.0,True,False
DEAL,-9.09,550391.56,550337.22,24/09/2022 01:38,2606760057,M5,8,2630838162,550391.56,979.27,501455.16000000003,34,Volatility 50 (1s) Index,1663983507.086369,648318.66,4,M30,BUY,0.01,True,False
DEAL,1.52,6545.881,6545.719,24/09/2022 01:38,2606760062,M5,8,2630838167,6545.881,979.09,4914.064333333334,34,Volatility 10 Index,1663983507.086369,9809.514333333334,4,M30,BUY,0.3,True,False
DEAL,2.77,354130.23,354104.92,24/09/2022 01:38,2606760065,M5,8,2630838170,354130.23,979.09,305175.73,34,Volatility 25 (1s) Index,1663983507.300284,452039.23,4,M30,BUY,0.01,True,False
DEAL,1.26,8620.48,8620.44,24/09/2022 01:38,2606760071,M5,8,2630838176,8620.48,978.95,6173.205,34,Volatility 10 (1s) Index,1663983507.749008,13515.239999999998,4,M30,BUY,0.2,True,False
DEAL,5.84,26411.13,26404.94,24/09/2022 01:38,2606760068,M5,8,2630838173,26411.13,979.02,23963.575,34,Volatility 100 Index,1663983507.9468846,31306.24,4,M30,BUY,0.2,True,False
DEAL,0.26,1740.811,1740.694,24/09/2022 01:38,2606760080,M5,8,2630838185,1740.811,979.02,761.954,34,Volatility 25 Index,1663983507.9478846,3698.843,4,M30,BUY,0.5,True,False
DEAL,1.25,8620.43,8620.39,24/09/2022 01:38,2606760450,M5,8,2630838558,8620.43,981.88,6165.727500000001,34,Volatility 10 (1s) Index,1663983529.835966,13529.835,4,M30,BUY,0.2,True,False
DEAL,1.94,215.2109,215.1824,24/09/2022 01:38,2606760457,M5,8,2630838562,215.2109,981.86,51.55546666666669,34,Volatility 50 Index,1663983530.0488274,542.4959666666666,4,M30,BUY,3.0,True,False
DEAL,-15.35,26448.51,26442.32,24/09/2022 01:38,2606760462,M5,8,2630838567,26448.51,979.83,23983.5475,34,Volatility 100 Index,1663983530.2806854,31347.655,4,M30,BUY,0.2,True,False
DEAL,1.18,6545.31,6545.148,24/09/2022 01:38,2606760465,M5,8,2630838571,6545.31,981.88,4908.841666666667,34,Volatility 10 Index,1663983530.6924303,9818.246666666666,4,M30,BUY,0.3,True,False
DEAL,2.93,354110.85,354085.54,24/09/2022 01:38,2606760468,M5,8,2630838574,354110.85,981.88,305016.85,34,Volatility 25 (1s) Index,1663983530.6944294,452298.85,4,M30,BUY,0.01,True,False
